,Unnamed: 0,name,url,picks,profit,yield
388,0,OnTheOtherSide,https://ontheotherside.blogabet.com,2016,10,100
389,0,Alias Core,https://aliascore.blogabet.com,2019,126,2
390,0,Obserwator Tips,https://obserwator.blogabet.com,2017,255,26
391,0,just another lucky guy,https://balizuodds.blogabet.com,2019,248,10
392,0,mybettings,https://mybettings.blogabet.com,2012,5,1
393,0,flouushh,https://6ix9in9.blogabet.com,2018,146,20
394,0,MembroBack,https://footballline.blogabet.com,2016,70,2
395,0,Tennisnerd,https://tennisnerd.blogabet.com,2017,313,9
396,0,I OAP I Soccer,https://oracleapover4.blogabet.com,2019,78,4
397,0,the_only_one,https://the-only-one.blogabet.com,2010,14,47
398,0,Ohnimu,https://ohnimu.blogabet.com,2016,270,28
399,0,jonjon,https://jonjon08.blogabet.com,2015,971,9
400,0,hellohi,https://bulbi.blogabet.com,2018,354,44
401,0,dato3076,https://dato3076.blogabet.com,2017,1468,13
402,0,Eye of the storm,https://nidaros.blogabet.com,2017,174,13
403,0,SauRon,https://sonicboom.blogabet.com,2017,272,6
404,0,derossi,https://derossi16.blogabet.com,2017,18,1
405,0,IncognitoWolf,https://lonelywolf.blogabet.com,2017,157,2
406,0,Giorgoulakos,https://giorgoulakos.blogabet.com,2017,93,10
407,0,Toqy,https://theoby.blogabet.com,2016,26,55
408,0,K-YAO,https://k-yao.blogabet.com,2018,118,10
409,0,Florentin !,https://purceaflorentin.blogabet.com,2019,1174,21
410,0,Gerald Woods,https://geraldwoods.blogabet.com,2019,184,32
411,0,UAbets,https://uabets.blogabet.com,2018,43,10
412,0,colman,https://georgescolman.blogabet.com,2014,191,2
413,0,Moti,https://qtplm.blogabet.com,2019,110,11
414,0,Tennis Tipster,https://sandokanbet.blogabet.com,2012,193,11
415,0,Vincent Van Bong,https://dafit7.blogabet.com,2015,832,9
416,0,Forrest Gump,https://francomazzone.blogabet.com,2018,249,15
417,0,Kogoro,https://mori.blogabet.com,2014,360,7
418,0,Antibook,https://cardonjerome.blogabet.com,2018,2251,5
419,0,German Cards,https://germancards.blogabet.com,2018,81,19
420,0,ProfesorPanda,https://padna.blogabet.com,2019,1454,30
421,0,dondraper,https://dondraperpicks.blogabet.com,2016,14,1
422,0,Romanian Sports,https://hunter1.blogabet.com,2019,199,15
423,0,Praetorian,https://praetorian.blogabet.com,2016,57,32
424,0,bobe23,https://bobeale.blogabet.com,2018,312,16
425,0,RussiaBasket,https://russiabasket.blogabet.com,2019,872,26
426,0,Ramone Picks,https://ramone.blogabet.com,2014,427,10
427,0,Stanislav,https://stabet.blogabet.com,2012,841,1
428,0,Tiresias,https://tiresias.blogabet.com,2016,48,2
429,0,Wikinger,https://vorstopper.blogabet.com,2016,451,18
430,0,SoloFutbol92 Tipster,https://sapolio92.blogabet.com,2017,131,32
431,0,TheOvers,https://theovers.blogabet.com,2014,38,2
432,0,andrographis,https://andrographis.blogabet.com,2018,251,4
433,0,Wengeras,https://wengeras.blogabet.com,2018,327,14
434,0,Old/viejo delatorretips,https://delatorre80.blogabet.com,2016,147,6
435,0,POYETZGZ,https://poyetpicks.blogabet.com,2013,247,3
